id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,extracted_at
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,105566.0,2099710130183,1,2099710130183,34191306614,108785.0,105580.0,-1316.9705363705434,-1.23216,-22955993233.45581,-1.08147,19878000.0,19878000.0,21000000.0,111814.0,-5.52819,2025-05-22T18:41:28.492Z,67.81,155680.01138,2013-07-06T00:00:00.000Z,,2025-06-17T11:44:48.922Z,2025-06-17 11:45:29.990884
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2545.28,307429045963,2,307429045963,23399917061,2672.77,2537.08,-66.09029482634651,-2.53086,-7327263989.441895,-2.32792,120720837.7282896,120720837.7282896,,4878.26,-47.7875,2021-11-10T14:24:19.604Z,0.432979,588164.67135,2015-10-20T00:00:00.000Z,"{'times': 31.23939803558022, 'currency': 'btc', 'percentage': 3123.939803558022}",2025-06-17T11:44:49.149Z,2025-06-17 11:45:29.990884
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,155482003098,3,155482003098,55549206752,1.0,0.999878,0.00016153,0.01616,16207613.0,0.01043,155476225902.8168,155476225902.8168,,1.32,-24.41657,2018-07-24T00:00:00.000Z,0.572521,74.67321,2015-03-02T00:00:00.000Z,,2025-06-17T11:44:56.361Z,2025-06-17 11:45:29.990884
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.2,129358085628,4,219660579513,4574002808,2.33,2.2,-0.028633120881623064,-1.28767,-1171887622.4205627,-0.89779,58881764070.0,99986037638.0,100000000000.0,3.4,-35.35363,2018-01-07T00:00:00.000Z,0.00268621,81687.24746,2014-05-22T00:00:00.000Z,,2025-06-17T11:44:48.698Z,2025-06-17 11:45:29.990884
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,652.95,95273793532,5,95273793532,852419281,658.97,649.21,-1.214032840757568,-0.18558,-127283534.2012024,-0.13342,145887575.79,145887575.79,200000000.0,788.84,-17.21259,2024-12-04T10:35:25.220Z,0.0398177,1640033.06229,2017-10-19T00:00:00.000Z,,2025-06-17T11:44:48.991Z,2025-06-17 11:45:29.990884
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,150.6,79542460616,6,90906493775,5055155509,158.57,148.95,-5.217292443013804,-3.34839,-2590260609.431366,-3.15375,527873404.2588278,603289362.2702129,,293.31,-48.63916,2025-01-19T11:15:27.957Z,0.500801,29981.29664,2020-05-11T19:35:23.449Z,,2025-06-17T11:44:48.270Z,2025-06-17 11:45:29.990884
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999742,61531234854,7,61578586511,12179995667,0.999855,0.999698,1.409e-05,0.00141,-47082196.47306061,-0.07646,61543026417.73701,61590387148.86548,,1.17,-14.74342,2019-05-08T00:40:28.300Z,0.877647,13.91933,2023-03-11T08:02:13.981Z,,2025-06-17T11:44:53.815Z,2025-06-17 11:45:29.990884
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.278212,26372848211,8,26372932857,1774935785,0.283863,0.270078,0.0076437,2.82506,713299679.0,2.77986,94832646291.97491,94832950664.8597,,0.431288,-35.53977,2024-12-04T00:10:40.323Z,0.00180434,15307.80709,2017-11-12T00:00:00.000Z,"{'times': 145.42711976111121, 'currency': 'usd', 'percentage': 14542.71197611112}",2025-06-17T11:44:47.896Z,2025-06-17 11:45:29.990884
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.171052,25621255172,9,25625658988,1185276890,0.180752,0.170178,-0.005209597680285533,-2.9556,-740925905.4415092,-2.81056,149696286383.7052,149722016383.7052,,0.731578,-76.60416,2021-05-08T05:08:23.458Z,8.69e-05,196852.20841,2015-05-06T00:00:00.000Z,,2025-06-17T11:44:48.211Z,2025-06-17 11:45:29.990884
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2544.5,23178882327,10,23178882327,17467496,2670.44,2531.35,-66.57339973077751,-2.54966,-573094568.8440514,-2.41283,9102195.49916164,9102195.49916164,,4829.57,-47.28638,2021-11-10T14:40:47.256Z,482.9,427.20257,2020-12-22T04:08:21.854Z,,2025-06-17T11:44:54.352Z,2025-06-17 11:45:29.990884
